,stock,W,L,Data_Type,Month_type,Min_vol,Test_perc,Win_Rate,Symbol,Options Vol,Imp Vol,WR_rank,TR_rank,Vol_rank,Total_score,EV
71,LH,56,4,pos_change,m1,2.14046276114879,100%,0.9333333333333333,0,0.0,0,0.9285714285714286,0.40584415584415584,0.3409090909090909,4.344155844155844,29.96647865608307
72,PSA,49,10,pos_change,m1,1.9503059149083983,100%,0.8305084745762712,0,0.0,0,0.27435064935064934,0.24025974025974026,0.3409090909090909,1.8847402597402596,9.556498983051153
73,DE,50,10,pos_change,m1,2.7263044878387355,100%,0.8333333333333334,DE,8373.0,30.77%,0.3198051948051948,0.7922077922077922,0.8409090909090909,4.176948051948052,13.631522439193681
74,TMO,50,10,pos_change,m1,2.3686779152690414,100%,0.8333333333333334,0,0.0,0,0.3198051948051948,0.5941558441558441,0.3409090909090909,3.082792207792208,11.84338957634521
75,STZ,52,8,pos_change,m1,2.468880913895657,100%,0.8666666666666667,0,0.0,0,0.573051948051948,0.6558441558441559,0.3409090909090909,4.027597402597403,16.047725940321772
76,ORLY,51,9,pos_change,m1,2.298643343224356,100%,0.85,0,0.0,0,0.42694805194805197,0.5292207792207793,0.3409090909090909,3.2094155844155843,13.02564561160468
77,STT,53,7,pos_change,m1,2.4346613948173492,100%,0.8833333333333333,0,0.0,0,0.6883116883116883,0.6266233766233766,0.3409090909090909,4.285714285714286,18.43386484647421
78,JKHY,46,14,pos_change,m1,2.554575941718582,100%,0.7666666666666667,0,0.0,0,0.06655844155844155,0.7077922077922078,0.3409090909090909,2.6639610389610384,8.393606665646772
79,ATO,52,7,pos_change,m1,1.9721326869116882,100%,0.8813559322033898,0,0.0,0,0.6525974025974026,0.2564935064935065,0.3409090909090909,3.0681818181818183,14.650128531343967
80,AMGN,44,13,pos_change,m1,2.1190105987931536,100%,0.7719298245614035,0,0.0,0,0.08766233766233766,0.38311688311688313,0.3409090909090909,1.7532467532467533,7.172035872838364
81,TJX,52,8,pos_change,m1,2.468764729252816,100%,0.8666666666666667,0,0.0,0,0.573051948051948,0.6525974025974026,0.3409090909090909,4.017857142857143,16.04697074014331
82,AOS,49,10,pos_change,m1,2.1354731722862965,100%,0.8305084745762712,0,0.0,0,0.27435064935064934,0.39935064935064934,0.3409090909090909,2.362012987012987,10.463818544202853
83,D,49,11,pos_change,m1,1.6605347053417572,100%,0.8166666666666667,0,0.0,0,0.21915584415584416,0.05519480519480519,0.3409090909090909,1.163961038961039,7.396927323795099
84,BK,48,11,pos_change,m1,2.4700765027471476,100%,0.8135593220338984,0,0.0,0,0.18019480519480519,0.6590909090909091,0.3409090909090909,2.858766233766233,10.778515648351194
85,ADBE,51,9,pos_change,m1,2.896010570758751,100%,0.85,ADBE,12239.0,25.37%,0.42694805194805197,0.8896103896103896,0.8863636363636364,4.836038961038962,16.410726567632917
86,J,54,6,pos_change,m1,2.707986935754888,100%,0.9,0,0.0,0,0.7938311688311688,0.7824675324675324,0.3409090909090909,5.069805194805195,24.371882421793998
87,CSCO,49,11,pos_change,m1,2.4652568259072645,100%,0.8166666666666667,CSCO,59481.0,27.56%,0.21915584415584416,0.6493506493506493,0.974025974025974,3.579545454545454,10.981598588132359
88,BLL,53,7,pos_change,m1,2.2311081237742423,100%,0.8833333333333333,0,0.0,0,0.6883116883116883,0.4837662337662338,0.3409090909090909,3.857142857142857,16.892675794290685
